fiscal_year,total_assets,total_liabilities,stockholders_equity,revenue,operating_cashflow,ebit,interest_expense,net_income,total_debt,ebit_is_gross_profit_flag,ticker,cik,sector,entity
2021,17706000000,15153000000,2553000000,6780000000,649000000,-4475000000,284000000.0,160000000,4407000000.0,False,M,0000794367,Retail,"MACY'S, INC."
2022,17590000000,13969000000,3621000000,24460000000,2712000000,2350000000,256000000.0,1430000000,3295000000.0,False,M,0000794367,Retail,"MACY'S, INC."
2023,16866000000,12784000000,4082000000,24442000000,1615000000,1689000000,175000000.0,1146000000,2996000000.0,False,M,0000794367,Retail,"MACY'S, INC."
2024,16246000000,12211000000,4035000000,23092000000,1305000000,301000000,170000000.0,45000000,2998000000.0,False,M,0000794367,Retail,"MACY'S, INC."
2025,16402000000,11850000000,4552000000,22293000000,1278000000,909000000,158000000.0,582000000,2773000000.0,False,M,0000794367,Retail,"MACY'S, INC."
2021,19067000000,14480000000,4587000000,47262000000,4927000000,2391000000,52000000.0,1798000000,1363000000.0,False,BBY,0000764478,Retail,"BEST BUY CO., INC."
2022,17504000000,14484000000,3020000000,51761000000,3252000000,3039000000,25000000.0,2454000000,1216000000.0,False,BBY,0000764478,Retail,"BEST BUY CO., INC."
2023,15803000000,13008000000,2795000000,46298000000,1824000000,1795000000,35000000.0,1419000000,1160000000.0,False,BBY,0000764478,Retail,"BEST BUY CO., INC."
2024,14967000000,11914000000,3053000000,43452000000,1470000000,1574000000,52000000.0,1241000000,1152000000.0,False,BBY,0000764478,Retail,"BEST BUY CO., INC."
2025,14782000000,11974000000,2808000000,41528000000,2098000000,1262000000,51000000.0,927000000,1144000000.0,False,BBY,0000764478,Retail,"BEST BUY CO., INC."
2021,11718707000,11785130000,-66423000,3291493000,3207310000,675881000,144768000.0,518973000,3826978000.0,False,ORLY,0000898173,Retail,O Reilly Automotive Inc
2022,12627979000,13688731000,-1060752000,3644493000,3148250000,682217000,157720000.0,528572000,4371653000.0,False,ORLY,0000898173,Retail,O Reilly Automotive Inc
2023,13872995000,15612273000,-1739278000,3832015000,3034084000,718736000,201668000.0,552504000,5570125000.0,False,ORLY,0000898173,Retail,O Reilly Automotive Inc
2024,14893741000,16264702000,-1370961000,16708479000,3049576000,3251157000,222548000.0,2386680000,5520932000.0,False,ORLY,0000898173,Retail,O Reilly Automotive Inc
2025,16538253000,17301605000,-763352000,17781992000,2761993000,3460612000,235064000.0,2538209000,6016904000.0,False,ORLY,0000898173,Retail,O Reilly Automotive Inc
2021,7887500000,5283100000,2604400000,4400800000,380900000,-43600000,48500000.0,-121100000,1632900000.0,False,RL,0001037038,Retail,Ralph Lauren Corporation
2022,7724700000,5188700000,2536000000,6218500000,715900000,798400000,54000000.0,600100000,1136500000.0,False,RL,0001037038,Retail,Ralph Lauren Corporation
2023,6789500000,4359000000,2430500000,6443600000,411000000,704200000,40400000.0,522700000,1138500000.0,False,RL,0001037038,Retail,Ralph Lauren Corporation
2024,6602600000,4152300000,2450300000,6631400000,1069700000,756400000,42200000.0,646300000,1140500000.0,False,RL,0001037038,Retail,Ralph Lauren Corporation
2025,7047300000,4458800000,2588500000,7079000000,1235100000,932100000,44100000.0,742900000,742900000.0,False,RL,0001037038,Retail,Ralph Lauren Corporation
2021,51248000000,36808000000,14440000000,93561000000,10525000000,6539000000,977000000.0,4368000000,11536000000.0,False,TGT,0000027419,Retail,Target Corporation
2022,53811000000,40984000000,12827000000,106005000000,8625000000,8946000000,421000000.0,6946000000,13549000000.0,False,TGT,0000027419,Retail,Target Corporation
2023,53335000000,42103000000,11232000000,109120000000,4018000000,3848000000,478000000.0,2780000000,16009000000.0,False,TGT,0000027419,Retail,Target Corporation
2024,55356000000,41924000000,13432000000,107412000000,8621000000,5707000000,502000000.0,4138000000,14922000000.0,False,TGT,0000027419,Retail,Target Corporation
2025,57769000000,43103000000,14666000000,106566000000,7367000000,5566000000,,4091000000,14304000000.0,False,TGT,0000027419,Retail,Target Corporation
2021,25862624000,19201386000,6661238000,8414524000,3876159000,872224000,150385000.0,642743000,4130975000.0,False,DG,0000029534,Retail,DOLLAR GENERAL CORPORATION
2022,26327371000,20065385000,6261986000,34220449000,2865811000,3220675000,157526000.0,2399232000,4172068000.0,False,DG,0000029534,Retail,DOLLAR GENERAL CORPORATION
2023,29083367000,23541595000,5541772000,37844863000,1984555000,3328302000,211273000.0,2415989000,,False,DG,0000029534,Retail,DOLLAR GENERAL CORPORATION
2024,30795591000,24046472000,6749119000,38691609000,2391798000,2446300000,326781000.0,1661274000,768645000.0,False,DG,0000029534,Retail,DOLLAR GENERAL CORPORATION
2025,31132733000,23719026000,7413707000,40612308000,2996064000,1714074000,,1125253000,519463000.0,False,DG,0000029534,Retail,DOLLAR GENERAL CORPORATION
2021,48662000000,39112000000,9576000000,30737000000,6815000000,-158000000,106000000.0,-77000000,12410000000.0,False,KR,0000056873,Retail,Kroger Co.
2022,49086000000,39657000000,9452000000,137888000000,6190000000,3477000000,571000000.0,1655000000,11745000000.0,False,KR,0000056873,Retail,Kroger Co.
2023,49623000000,39609000000,10042000000,148258000000,4498000000,4126000000,535000000.0,2244000000,11292000000.0,False,KR,0000056873,Retail,Kroger Co.
2024,50505000000,38904000000,11615000000,150039000000,6788000000,3096000000,441000000.0,2164000000,10187000000.0,False,KR,0000056873,Retail,Kroger Co.
2025,52616000000,44335000000,8285000000,147123000000,5794000000,3849000000,,2665000000,15909000000.0,False,KR,0000056873,Retail,Kroger Co.
2021,59268000000,41190000000,17564000000,195929000000,8958000000,6708000000,171000000.0,5007000000,7531000000.0,False,COST,0000909832,Retail,COSTCO WHOLESALE CORP /NEW
2022,64166000000,43519000000,20642000000,226954000000,7392000000,7793000000,158000000.0,5844000000,6484000000.0,False,COST,0000909832,Retail,COSTCO WHOLESALE CORP /NEW
2023,68994000000,43936000000,25058000000,242290000000,11068000000,8114000000,160000000.0,6292000000,5377000000.0,False,COST,0000909832,Retail,COSTCO WHOLESALE CORP /NEW
2024,69831000000,46209000000,23622000000,254453000000,11339000000,9285000000,169000000.0,7367000000,5794000000.0,False,COST,0000909832,Retail,COSTCO WHOLESALE CORP /NEW
2025,77099000000,47935000000,29164000000,275235000000,13335000000,10383000000,154000000.0,8099000000,5713000000.0,False,COST,0000909832,Retail,COSTCO WHOLESALE CORP /NEW
2021,11571000000,12233000000,-662000000,1681000000,2039000000,409000000,432000000.0,88000000,6366000000.0,False,BBWI,0000701985,Retail,"Bath & Body Works, Inc."
2022,6026000000,7544000000,-1518000000,1604000000,1492000000,202000000,388000000.0,91000000,4854000000.0,False,BBWI,0000701985,Retail,"Bath & Body Works, Inc."
2023,5494000000,7700000000,-2206000000,2889000000,1144000000,653000000,348000000.0,434000000,4862000000.0,False,BBWI,0000701985,Retail,"Bath & Body Works, Inc."
2024,5463000000,7090000000,-1627000000,7429000000,954000000,1285000000,345000000.0,878000000,4388000000.0,False,BBWI,0000701985,Retail,"Bath & Body Works, Inc."
2025,4872000000,6257000000,-1385000000,7307000000,886000000,1266000000,312000000.0,798000000,3884000000.0,False,BBWI,0000701985,Retail,"Bath & Body Works, Inc."
2021,252496000000,171571000000,80925000000,555233000000,36074000000,22548000000,1976000000.0,13510000000,44309000000.0,False,WMT,0000104169,Retail,Walmart Inc.
2022,244860000000,161607000000,83253000000,567762000000,24181000000,25942000000,1674000000.0,13673000000,37667000000.0,False,WMT,0000104169,Retail,Walmart Inc.
2023,243197000000,166504000000,76693000000,605881000000,28841000000,20428000000,1787000000.0,11680000000,38840000000.0,False,WMT,0000104169,Retail,Walmart Inc.
2024,252399000000,168538000000,83861000000,642637000000,35726000000,27012000000,2259000000.0,15511000000,39579000000.0,False,WMT,0000104169,Retail,Walmart Inc.
2025,260823000000,169810000000,91013000000,674538000000,36443000000,29348000000,2249000000.0,19436000000,35999000000.0,False,WMT,0000104169,Retail,Walmart Inc.
2021,65015000000,65036000000,-21000000,59142000000,4542000000,-5040000000,217000000.0,666000000,7100000000.0,False,MCK,0000927653,Healthcare,McKESSON CORPORATION
2022,63298000000,65570000000,-2272000000,263966000000,4434000000,2038000000,178000000.0,1114000000,5900000000.0,False,MCK,0000927653,Healthcare,McKESSON CORPORATION
2023,62320000000,64177000000,-1857000000,276711000000,5159000000,4381000000,248000000.0,3560000000,5600000000.0,False,MCK,0000927653,Healthcare,McKESSON CORPORATION
2024,67443000000,69414000000,-1971000000,308951000000,4314000000,3909000000,252000000.0,3002000000,5600000000.0,False,MCK,0000927653,Healthcare,McKESSON CORPORATION
2025,75140000000,77214000000,-2074000000,359051000000,6085000000,4422000000,,3295000000,5700000000.0,False,MCK,0000927653,Healthcare,McKESSON CORPORATION
2021,13093543000,7003879000,6089664000,12642117000,883695000,1363094000,83672000.0,991590000,4190288000.0,False,UHS,0000352915,Healthcare,"UNIVERSAL HEALTH SERVICES, INC."
2022,13494188000,7573606000,5920582000,13399370000,996023000,1003555000,126889000.0,675609000,4807980000.0,False,UHS,0000352915,Healthcare,"UNIVERSAL HEALTH SERVICES, INC."
2023,13967602000,7818601000,6149001000,14281976000,1267797000,1175381000,206674000.0,717795000,4912469000.0,False,UHS,0000352915,Healthcare,"UNIVERSAL HEALTH SERVICES, INC."
2024,14469749000,7803542000,6666207000,15827935000,2067101000,1681814000,186109000.0,1142097000,4504541000.0,False,UHS,0000352915,Healthcare,"UNIVERSAL HEALTH SERVICES, INC."
2025,15527593000,8251801000,7275792000,17364829000,1864397000,1994015000,156068000.0,1488796000,4752551000.0,False,UHS,0000352915,Healthcare,"UNIVERSAL HEALTH SERVICES, INC."
2020,5413200000,5297600000,115600000,1860100000,246900000,183000000,22200000.0,-116100000,2792400000.0,False,SGRY,0001638833,Healthcare,"Surgery Partners, Inc."
2021,6117600000,5028600000,1089000000,2225100000,87100000,302200000,27400000.0,-70900000,2878400000.0,False,SGRY,0001638833,Healthcare,"Surgery Partners, Inc."
2022,6682100000,4683900000,1998200000,2539300000,158800000,345200000,42700000.0,-54600000,2559000000.0,False,SGRY,0001638833,Healthcare,"Surgery Partners, Inc."
2023,6876700000,4889500000,1987200000,2743300000,293800000,328000000,48600000.0,-11900000,2701800000.0,False,SGRY,0001638833,Healthcare,"Surgery Partners, Inc."
2024,7890000000,6100300000,1789700000,3114300000,300100000,348800000,61800000.0,-168100000,3268900000.0,False,SGRY,0001638833,Healthcare,"Surgery Partners, Inc."
2021,25434800000,6666000000,18768800000,16071700000,7081300000,8946800000,57300000.0,8075300000,1980000000.0,False,REGN,0000872589,Healthcare,"REGENERON PHARMACEUTICALS, INC."
2022,29214500000,6550500000,22664000000,12172900000,5014900000,4738900000,59400000.0,4338400000,1981400000.0,False,REGN,0000872589,Healthcare,"REGENERON PHARMACEUTICALS, INC."
2023,33080200000,7107100000,25973100000,13117200000,4594000000,4047100000,73000000.0,3953600000,1982900000.0,False,REGN,0000872589,Healthcare,"REGENERON PHARMACEUTICALS, INC."
2024,37759400000,8405800000,29353600000,14202000000,4420500000,3990700000,,4412600000,1984400000.0,False,REGN,0000872589,Healthcare,"REGENERON PHARMACEUTICALS, INC."
2025,40558700000,9301800000,31256900000,14342900000,4978900000,3577900000,,4504900000,1985900000.0,False,REGN,0000872589,Healthcare,"REGENERON PHARMACEUTICALS, INC."
2021,97460000000,61332000000,36060000000,138639000000,8364000000,7559000000,798000000.0,6158000000,22756000000.0,False,ELV,0001156039,Healthcare,"Elevance Health, Inc."
2022,102755000000,66425000000,36243000000,156595000000,8399000000,8283000000,851000000.0,5894000000,23849000000.0,False,ELV,0001156039,Healthcare,"Elevance Health, Inc."
2023,108928000000,69523000000,39306000000,171340000000,8061000000,8499000000,1030000000.0,5987000000,24895000000.0,False,ELV,0001156039,Healthcare,"Elevance Health, Inc."
2024,116889000000,75463000000,41315000000,177011000000,5808000000,7862000000,,5980000000,30867000000.0,False,ELV,0001156039,Healthcare,"Elevance Health, Inc."
2025,121494000000,77468000000,43882000000,199125000000,4290000000,7199000000,,5662000000,31896000000.0,False,ELV,0001156039,Healthcare,"Elevance Health, Inc."
2021,44358000000,28255000000,16080000000,3055000000,2262000000,3148000000,326000000.0,2933000000,12494000000.0,False,HUM,0000049071,Healthcare,HUMANA INC.
2022,43055000000,27685000000,15311000000,4776000000,4587000000,3800000000,401000000.0,2806000000,11126000000.0,False,HUM,0000049071,Healthcare,HUMANA INC.
2023,47065000000,30747000000,16262000000,4033000000,3981000000,4013000000,493000000.0,2489000000,11656000000.0,False,HUM,0000049071,Healthcare,HUMANA INC.
2024,46479000000,30034000000,16375000000,4431000000,2966000000,2562000000,,1207000000,11721000000.0,False,HUM,0000049071,Healthcare,HUMANA INC.
2025,48909000000,31172000000,17657000000,5833000000,921000000,2704000000,,1188000000,12369000000.0,False,HUM,0000049071,Healthcare,HUMANA INC.
2021,146529000000,131121000000,15408000000,56197000000,22777000000,17924000000,2423000000.0,4044000000,76670000000.0,False,ABBV,0001551152,Healthcare,ABBVIE INC.
2022,138805000000,121551000000,17254000000,58054000000,24943000000,18117000000,2230000000.0,2473000000,63270000000.0,False,ABBV,0001551152,Healthcare,ABBVIE INC.
2023,134711000000,124351000000,10360000000,54318000000,22839000000,12757000000,2224000000.0,822000000,59385000000.0,False,ABBV,0001551152,Healthcare,ABBVIE INC.
2024,135161000000,131836000000,3325000000,56334000000,18806000000,9137000000,2808000000.0,-22000000,67144000000.0,False,ABBV,0001551152,Healthcare,ABBVIE INC.
2025,133960000000,137230000000,-3270000000,61160000000,19030000000,15075000000,2893000000.0,1816000000,64997000000.0,False,ABBV,0001551152,Healthcare,ABBVIE INC.
2021,20385400000,10091400000,10273400000,13136100000,3109600000,3048600000,211800000.0,2377300000,5418000000.0,False,LH,0000920148,Healthcare,LABCORP HOLDINGS INC.
2022,20155100000,10039600000,10096600000,11863900000,1955900000,1436500000,179800000.0,1279100000,5340100000.0,False,LH,0000920148,Healthcare,LABCORP HOLDINGS INC.
2023,16725100000,8834600000,7875000000,12161600000,1327700000,725600000,199600000.0,418000000,5054500000.0,False,LH,0000920148,Healthcare,LABCORP HOLDINGS INC.
2024,18379000000,10312500000,8052200000,13008900000,1585800000,1086700000,208300000.0,746000000,6331500000.0,False,LH,0000920148,Healthcare,LABCORP HOLDINGS INC.
2025,18392700000,9756000000,8619800000,13951700000,1640500000,1384700000,224100000.0,876500000,5084600000.0,False,LH,0000920148,Healthcare,LABCORP HOLDINGS INC.
2021,44453000000,42662000000,1791000000,162467000000,2429000000,472000000,180000000.0,611000000,6236000000.0,False,CAH,0000721371,Healthcare,"Cardinal Health, Inc."
2022,43878000000,44587000000,-709000000,51468000000,3175000000,-86000000,24000000.0,-77000000,5315000000.0,False,CAH,0000721371,Healthcare,"Cardinal Health, Inc."
2023,43349000000,46307000000,-2958000000,57442000000,2844000000,505000000,3000000.0,368000000,4701000000.0,False,CAH,0000721371,Healthcare,"Cardinal Health, Inc."
2024,45121000000,48334000000,-3213000000,226827000000,3762000000,1243000000,51000000.0,852000000,5092000000.0,False,CAH,0000721371,Healthcare,"Cardinal Health, Inc."
2025,53122000000,55903000000,-2781000000,222578000000,2397000000,2275000000,215000000.0,1561000000,8527000000.0,False,CAH,0000721371,Healthcare,"Cardinal Health, Inc."
2021,93083000000,41481000000,51428000000,30117000000,6240000000,4484000000,925000000.0,3606000000,26378000000.0,False,MDT,0001613103,Healthcare,Medtronic plc
2022,90981000000,38260000000,52551000000,31686000000,7346000000,5752000000,553000000.0,5039000000,20372000000.0,False,MDT,0001613103,Healthcare,Medtronic plc
2023,90948000000,39283000000,51483000000,31227000000,6039000000,5485000000,636000000.0,3758000000,24344000000.0,False,MDT,0001613103,Healthcare,Medtronic plc
2024,89981000000,39561000000,50214000000,32364000000,6787000000,5144000000,719000000.0,3676000000,23932000000.0,False,MDT,0001613103,Healthcare,Medtronic plc
2025,91680000000,43424000000,48024000000,33537000000,7044000000,5955000000,,4662000000,25642000000.0,False,MDT,0001613103,Healthcare,Medtronic plc
2018,1617100000,1922600000,-305500000,5092000000,224800000,142900000,105800000.0,20200000,874900000.0,False,YELL,0000716006,SupplyChain,Yellow Corporation
2019,1831600000,2272800000,-441200000,4871200000,21500000,16200000,111200000.0,-104000000,862200000.0,False,YELL,0000716006,SupplyChain,Yellow Corporation
2020,2185800000,2409100000,-223300000,4513700000,122500000,56500000,135900000.0,-53500000,1225400000.0,False,YELL,0000716006,SupplyChain,Yellow Corporation
2021,2425600000,2789100000,-363500000,5121800000,10200000,103600000,150700000.0,-109100000,1554500000.0,False,YELL,0000716006,SupplyChain,Yellow Corporation
2022,2279300000,2660800000,-381500000,5244700000,121300000,197800000,162900000.0,21800000,1538000000.0,False,YELL,0000716006,SupplyChain,Yellow Corporation
2021,38493000000,24852000000,13641000000,11142000000,4255000000,4447000000,646000000.0,3005000000,13840000000.0,False,NSC,0000702165,SupplyChain,NORFOLK SOUTHERN CORPORATION
2022,38885000000,26152000000,12733000000,12745000000,4222000000,4809000000,692000000.0,3270000000,15182000000.0,False,NSC,0000702165,SupplyChain,NORFOLK SOUTHERN CORPORATION
2023,41652000000,28871000000,12781000000,12156000000,3179000000,2851000000,722000000.0,1827000000,17179000000.0,False,NSC,0000702165,SupplyChain,NORFOLK SOUTHERN CORPORATION
2024,43682000000,29376000000,14306000000,12123000000,4052000000,4071000000,807000000.0,2622000000,17206000000.0,False,NSC,0000702165,SupplyChain,NORFOLK SOUTHERN CORPORATION
2025,45236000000,29689000000,15547000000,12180000000,4361000000,4356000000,,2873000000,17087000000.0,False,NSC,0000702165,SupplyChain,NORFOLK SOUTHERN CORPORATION
2020,2105396000,947473000,1157923000,952730000,174954000,31172000,9343000.0,22388000,270359000.0,False,HUBG,0000940942,SupplyChain,"HUB GROUP, INC."
2021,2437294000,1096980000,1340314000,4232383000,252835000,238457000,7307000.0,171474000,274752000.0,False,HUBG,0000940942,SupplyChain,"HUB GROUP, INC."
2022,2810081000,1210479000,1599602000,5340490000,458163000,474721000,7506000.0,356948000,342465000.0,False,HUBG,0000940942,SupplyChain,"HUB GROUP, INC."
2023,2936047000,1301402000,1634645000,4202585000,422158000,212231000,13435000.0,167528000,350682000.0,False,HUBG,0000940942,SupplyChain,"HUB GROUP, INC."
2024,2868343000,1223346000,1644997000,3946390000,194419000,140291000,,103993000,264362000.0,False,HUBG,0000940942,SupplyChain,"HUB GROUP, INC."
2021,6794348000,3676532000,3117816000,12168302000,1223898000,1045530000,46251000.0,760806000,945200000.0,False,JBHT,0000728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC."
2022,7787000000,4119814000,3666768000,14813999000,1776882000,1331553000,51249000.0,969351000,1261700000.0,False,JBHT,0000728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC."
2023,8588000000,4484390000,4103758000,12829665000,1744618000,993196000,65933000.0,728287000,1326100000.0,False,JBHT,0000728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC."
2024,8312270000,4297765000,4014505000,12087204000,1483156000,831225000,79020000.0,570886000,977700000.0,False,JBHT,0000728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC."
2025,7927155000,4362070000,3565085000,11999096000,1678272000,865069000,,598282000,766938000.0,False,JBHT,0000728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC."
2021,4821544000,1141737000,3679807000,5256328000,1212606000,1391602000,1727000.0,1034375000,99947000.0,False,ODFL,0000878927,SupplyChain,"OLD DOMINION FREIGHT LINE, INC."
2022,4838610000,1185693000,3652917000,6260077000,1691582000,1840632000,1563000.0,1377159000,99963000.0,False,ODFL,0000878927,SupplyChain,"OLD DOMINION FREIGHT LINE, INC."
2023,5512393000,1254582000,4257811000,5866152000,1569135000,1640673000,464000.0,1239502000,79977000.0,False,ODFL,0000878927,SupplyChain,"OLD DOMINION FREIGHT LINE, INC."
2024,5491395000,1246807000,4244588000,5814810000,1659283000,1543998000,212000.0,1186073000,59987000.0,False,ODFL,0000878927,SupplyChain,"OLD DOMINION FREIGHT LINE, INC."
2025,5470160000,1159103000,4311057000,5496389000,1370133000,1361045000,296000.0,1023703000,39995000.0,False,ODFL,0000878927,SupplyChain,"OLD DOMINION FREIGHT LINE, INC."
2021,1845250000,624917000,1220333000,2288704000,382592000,335141000,3212000.0,253235000,31008000.0,False,SAIA,0001177702,SupplyChain,"Saia, Inc."
2022,2174710000,595369000,1579341000,2792057000,473026000,470488000,2611000.0,357422000,16489000.0,False,SAIA,0001177702,SupplyChain,"Saia, Inc."
2023,2583565000,642071000,1941494000,2881433000,577945000,460496000,2535000.0,354857000,6315000.0,False,SAIA,0001177702,SupplyChain,"Saia, Inc."
2024,3166857000,855586000,2311271000,3209074000,583702000,482160000,8930000.0,362065000,194981000.0,False,SAIA,0001177702,SupplyChain,"Saia, Inc."
2025,3482681000,904982000,2577699000,3234286000,594973000,352200000,16444000.0,255036000,163000000.0,False,SAIA,0001177702,SupplyChain,"Saia, Inc."
2021,69405000000,55152000000,14253000000,97287000000,15007000000,12810000000,694000000.0,12890000000,19784000000.0,False,UPS,0001090727,SupplyChain,"United Parcel Service, Inc."
2022,71124000000,51338000000,19786000000,100338000000,14104000000,13094000000,704000000.0,11548000000,19662000000.0,False,UPS,0001090727,SupplyChain,"United Parcel Service, Inc."
2023,70857000000,53551000000,17306000000,90958000000,10238000000,9141000000,785000000.0,6708000000,22264000000.0,False,UPS,0001090727,SupplyChain,"United Parcel Service, Inc."
2024,70070000000,53352000000,16718000000,91070000000,10122000000,8468000000,,5782000000,21284000000.0,False,UPS,0001090727,SupplyChain,"United Parcel Service, Inc."
2025,73090000000,56863000000,16227000000,88661000000,8450000000,7867000000,,5572000000,24127000000.0,False,UPS,0001090727,SupplyChain,"United Parcel Service, Inc."
2021,4299000000,1256800000,3042200000,6010900000,770100000,1217400000,9700000.0,925000000,390000000.0,False,FAST,0000815556,SupplyChain,FASTENAL CO
2022,4548600000,1385400000,3163200000,6980600000,941000000,1453600000,14300000.0,1086900000,555000000.0,False,FAST,0000815556,SupplyChain,FASTENAL CO
2023,4462900000,1114100000,3348800000,7346700000,1432700000,1528700000,10800000.0,1155000000,260000000.0,False,FAST,0000815556,SupplyChain,FASTENAL CO
2024,4698000000,1081700000,3616300000,7546000000,1173300000,1510000000,,1150600000,200000000.0,False,FAST,0000815556,SupplyChain,FASTENAL CO
2025,5052900000,1109300000,3943600000,8200500000,1295900000,1655700000,,1258400000,125000000.0,False,FAST,0000815556,SupplyChain,FASTENAL CO
2021,82777000000,58609000000,24168000000,83959000000,10135000000,5857000000,793000000.0,5231000000,19568000000.0,False,FDX,0001048911,SupplyChain,FedEx Corporation
2022,85994000000,61055000000,24939000000,93512000000,9832000000,6245000000,689000000.0,3826000000,19878000000.0,False,FDX,0001048911,SupplyChain,FedEx Corporation
2023,87143000000,61055000000,26088000000,90155000000,8848000000,4912000000,694000000.0,3972000000,19905000000.0,False,FDX,0001048911,SupplyChain,FedEx Corporation
2024,87007000000,59425000000,27582000000,87693000000,8312000000,5559000000,745000000.0,4331000000,20203000000.0,False,FDX,0001048911,SupplyChain,FedEx Corporation
2025,87627000000,59553000000,28074000000,87926000000,7036000000,5217000000,,4092000000,20579000000.0,False,FDX,0001048911,SupplyChain,FedEx Corporation
2021,3693100000,2025700000,1667400000,3925300000,984100000,1187500000,22600000.0,927400000,564000000.0,False,MATX,0000003453,SupplyChain,"Matson, Inc."
2022,4330000000,2033100000,2296900000,4343000000,1271900000,1353600000,18000000.0,1063900000,440600000.0,False,MATX,0000003453,SupplyChain,"Matson, Inc."
2023,4294600000,1893900000,2400700000,3094600000,510500000,342800000,12200000.0,297100000,400900000.0,False,MATX,0000003453,SupplyChain,"Matson, Inc."
2024,4595400000,1943400000,2652000000,3421800000,767800000,551300000,,476400000,361200000.0,False,MATX,0000003453,SupplyChain,"Matson, Inc."
2025,4635600000,1876600000,2759000000,3344500000,547100000,499800000,,444800000,312100000.0,False,MATX,0000003453,SupplyChain,"Matson, Inc."
