ticker,fiscal_year,total_debt,interest_expense,debt_to_asset,interest_coverage,cashflow_to_debt,revenue_trend
ABBV,2021,76670000000.0,2423000000.0,0.5232411331545291,7.397441188609162,0.2970783878961784,
ABBV,2022,63270000000.0,2230000000.0,0.45581931486617916,8.124215246636771,0.3942310731784416,0.03304446856593768
ABBV,2023,59385000000.0,2224000000.0,0.4408325971895391,5.736061151079137,0.38459206870421825,-0.06435387742446685
ABBV,2024,67144000000.0,2808000000.0,0.4967705181228313,3.2539173789173788,0.2800845943047778,0.037114768584999513
ABBV,2025,64997000000.0,2893000000.0,0.4851970737533592,5.210853784998272,0.2927827438189455,0.08566762523520421
BBWI,2021,6366000000.0,432000000.0,0.5501685247601763,0.9467592592592593,0.32029531888155827,
BBWI,2022,4854000000.0,388000000.0,0.8055094590109525,0.520618556701031,0.3073753605274001,-0.045806067816775764
BBWI,2023,4862000000.0,348000000.0,0.8849654168183473,1.8764367816091954,0.23529411764705882,0.8011221945137157
BBWI,2024,4388000000.0,345000000.0,0.8032216730734029,3.7246376811594204,0.21741112123974476,1.571478020076151
BBWI,2025,3884000000.0,312000000.0,0.7972085385878489,4.0576923076923075,0.22811534500514932,-0.016422129492529303
BBY,2021,1363000000.0,52000000.0,0.07148476425237321,45.98076923076923,3.614820249449743,
BBY,2022,1216000000.0,25000000.0,0.06946983546617916,121.56,2.674342105263158,0.09519275527908255
BBY,2023,1160000000.0,35000000.0,0.07340378409162818,51.285714285714285,1.5724137931034483,-0.10554278317652288
BBY,2024,1152000000.0,52000000.0,0.07696933253156946,30.26923076923077,1.2760416666666667,-0.061471337854766994
BBY,2025,1144000000.0,51000000.0,0.0773914219997294,24.745098039215687,1.833916083916084,-0.0442787443615944
CAH,2021,6236000000.0,180000000.0,0.14028299552336176,2.6222222222222222,0.3895125080179602,
CAH,2022,5315000000.0,24000000.0,0.12113131865627422,-3.5833333333333335,0.5973659454374413,-0.6832095133165504
CAH,2023,4701000000.0,3000000.0,0.10844540819857436,168.33333333333334,0.6049776643267389,0.11607212248387344
CAH,2024,5092000000.0,51000000.0,0.11285210877418497,24.372549019607842,0.7388059701492538,2.9488005292294837
CAH,2025,8527000000.0,215000000.0,0.1605172998004593,10.581395348837209,0.28110707165474375,-0.018732337861013026
COST,2021,7531000000.0,171000000.0,0.12706688263481136,39.228070175438596,1.189483468330899,
COST,2022,6484000000.0,158000000.0,0.10105040052364181,49.322784810126585,1.1400370141887723,0.15834817714580285
COST,2023,5377000000.0,160000000.0,0.07793431312867785,50.7125,2.0583968755811792,0.06757316460604357
COST,2024,5794000000.0,169000000.0,0.08297174607266114,54.94082840236686,1.9570245081118398,0.05020017334599025
COST,2025,5713000000.0,154000000.0,0.07409953436490746,67.42207792207792,2.334150183791353,0.08167323631476142
DG,2021,4130975000.0,150385000.0,0.15972760536595204,5.799940153605745,0.9383157729107535,
DG,2022,4172068000.0,157526000.0,0.1584688421794945,20.44535505249927,0.6869041923573633,3.0668312313328716
DG,2023,,211273000.0,,15.753560559087058,,0.10591368920963018
DG,2024,768645000.0,326781000.0,0.024959579441095968,7.486053350715005,3.1117069648537363,0.022374133049444467
DG,2025,519463000.0,,0.016685428805752453,,5.767617712907368,0.04964122841208285
ELV,2021,22756000000.0,798000000.0,0.23349066283603528,9.472431077694235,0.3675514150114256,
ELV,2022,23849000000.0,851000000.0,0.23209576176341784,9.73325499412456,0.35217409534990984,0.12951622559308706
ELV,2023,24895000000.0,1030000000.0,0.22854546122209166,8.251456310679611,0.32379995983129145,0.09416009451131901
ELV,2024,30867000000.0,,0.26407104175756485,,0.1881621148799689,0.03309793393253191
ELV,2025,31896000000.0,,0.26253148303619933,,0.13449962377727614,0.12493008909050851
FAST,2021,390000000.0,9700000.0,0.09071877180739707,125.50515463917526,1.9746153846153847,
FAST,2022,555000000.0,14300000.0,0.12201556522886163,101.65034965034965,1.6954954954954955,0.1613235954682326
FAST,2023,260000000.0,10800000.0,0.058258083309059135,141.5462962962963,5.510384615384615,0.052445348537375036
FAST,2024,200000000.0,,0.04257130693912303,,5.8665,0.027127826098792607
FAST,2025,125000000.0,,0.024738269112786718,,10.3672,0.08673469387755106
FDX,2021,19568000000.0,793000000.0,0.23639416746197614,7.385876418663304,0.517937448896157,
FDX,2022,19878000000.0,689000000.0,0.23115566202293183,9.063860667634252,0.4946171647046987,0.11378172679522147
FDX,2023,19905000000.0,694000000.0,0.22841765833170766,7.077809798270893,0.44451142928912335,-0.03589913593977245
FDX,2024,20203000000.0,745000000.0,0.2321997080694657,7.461744966442953,0.4114240459337722,-0.02730852420830787
FDX,2025,20579000000.0,,0.23484770675704977,,0.34190193886972153,0.0026569965675709017
HUBG,2020,270359000.0,9343000.0,0.1284124221761607,3.336401584073638,0.6471173513735441,
HUBG,2021,274752000.0,7307000.0,0.11272829621703413,32.63404954153551,0.92022988003727,3.442374019921699
HUBG,2022,342465000.0,7506000.0,0.12187015249738353,63.24553690381028,1.337838903245587,0.26181633372972146
HUBG,2023,350682000.0,13435000.0,0.11944018607331558,15.79687383699293,1.2038199850576876,-0.2130712724862326
HUBG,2024,264362000.0,,0.09216540699630414,,0.7354271793979468,-0.060961289301703636
HUM,2021,12494000000.0,326000000.0,0.2816628342125434,9.656441717791411,0.18104690251320635,
HUM,2022,11126000000.0,401000000.0,0.25841365695041224,9.476309226932669,0.4122775480855653,0.5633387888707038
HUM,2023,11656000000.0,493000000.0,0.2476574949537873,8.139959432048682,0.3415408373369938,-0.15556951423785592
HUM,2024,11721000000.0,,0.2521784031498096,,0.2530500810511049,0.09868584180510775
HUM,2025,12369000000.0,,0.25289823958780594,,0.07446034440941063,0.31640713157300837
JBHT,2021,945200000.0,46251000.0,0.13911562963804622,22.605565285074917,1.2948561151079137,
JBHT,2022,1261700000.0,51249000.0,0.16202645434698856,25.982028917637418,1.408323690259174,0.2174253235989705
JBHT,2023,1326100000.0,65933000.0,0.15441313460642758,15.063716196745181,1.3156006334363923,-0.13394992128729044
JBHT,2024,977700000.0,79020000.0,0.11762129959686103,10.519172361427486,1.5169847601513757,-0.057870645882024174
JBHT,2025,766938000.0,,0.09674820285461808,,2.1882759753721945,-0.007289361543000306
KR,2021,12410000000.0,106000000.0,0.255024454399737,-1.490566037735849,0.5491539081385979,
KR,2022,11745000000.0,571000000.0,0.23927392739273928,6.089316987740806,0.5270327799063431,3.4860591469564373
KR,2023,11292000000.0,535000000.0,0.2275557705096427,7.7121495327102805,0.3983351044987602,0.07520596426084936
KR,2024,10187000000.0,441000000.0,0.2017028017028017,7.020408163265306,0.6663394522430549,0.012012842477303165
KR,2025,15909000000.0,,0.30236049870761744,,0.3641963668363819,-0.01943494691380243
LH,2021,5418000000.0,211800000.0,0.2657784492823295,14.393767705382436,0.573938722775932,
LH,2022,5340100000.0,179800000.0,0.2649503103432878,7.989432703003337,0.3662665493155559,-0.09684761839510969
LH,2023,5054500000.0,199600000.0,0.302210450161733,3.635270541082164,0.26267682263329706,0.025092928969394634
LH,2024,6331500000.0,208300000.0,0.34449643614995373,5.216994719155065,0.25046197583511015,0.06967010919615846
LH,2025,5084600000.0,224100000.0,0.27644663371881234,6.178937974118697,0.32264091570625025,0.07247346047705805
M,2021,4407000000.0,284000000.0,0.2488986784140969,-15.757042253521126,0.14726571363739505,
M,2022,3295000000.0,256000000.0,0.18732234223990904,9.1796875,0.8230652503793626,2.607669616519174
M,2023,2996000000.0,175000000.0,0.1776354796632278,9.651428571428571,0.5390520694259012,-0.0007358953393294954
M,2024,2998000000.0,170000000.0,0.18453773236488982,1.7705882352941176,0.4352901934623082,-0.055232796006873364
M,2025,2773000000.0,158000000.0,0.16906474820143885,5.753164556962025,0.46087270104579875,-0.034600727524683905
MATX,2021,564000000.0,22600000.0,0.15271722942785193,52.54424778761062,1.7448581560283687,
MATX,2022,440600000.0,18000000.0,0.10175519630484989,75.2,2.8867453472537448,0.10641224874531874
MATX,2023,400900000.0,12200000.0,0.09334978810599358,28.098360655737704,1.2733848840109754,-0.2874510706884642
MATX,2024,361200000.0,,0.07860033946990469,,2.125692137320044,0.1057325664059976
MATX,2025,312100000.0,,0.06732677539045646,,1.7529637936558795,-0.02259044947103861
MCK,2021,7100000000.0,217000000.0,0.10920556794585864,-23.225806451612904,0.6397183098591549,
MCK,2022,5900000000.0,178000000.0,0.09320989604726848,11.44943820224719,0.7515254237288136,3.4632579216123904
MCK,2023,5600000000.0,248000000.0,0.08985879332477535,17.66532258064516,0.92125,0.04828273338232947
MCK,2024,5600000000.0,252000000.0,0.08303307978589328,15.511904761904763,0.7703571428571429,0.11651145057478751
MCK,2025,5700000000.0,,0.07585839765770562,,1.067543859649123,0.16216163728228739
MDT,2021,26378000000.0,925000000.0,0.28338149823276,4.847567567567568,0.23656077033891879,
MDT,2022,20372000000.0,553000000.0,0.22391488332728812,10.401446654611211,0.36059297074415864,0.05209682239266855
MDT,2023,24344000000.0,636000000.0,0.2676694374807582,8.624213836477987,0.24806933946763063,-0.014485892823328905
MDT,2024,23932000000.0,719000000.0,0.26596725975483715,7.154381084840056,0.28359518636135717,0.03641079834758387
MDT,2025,25642000000.0,,0.27969022687609074,,0.27470556118867484,0.03624397478680019
NSC,2021,13840000000.0,646000000.0,0.3595458914607851,6.88390092879257,0.3074421965317919,
NSC,2022,15182000000.0,692000000.0,0.3904333290471904,6.949421965317919,0.278092477934396,0.14387004128522718
NSC,2023,17179000000.0,722000000.0,0.41244117929511187,3.9487534626038783,0.18505151638628559,-0.046214201647704956
NSC,2024,17206000000.0,807000000.0,0.3938922210521496,5.044609665427509,0.2354992444496106,-0.002714708785784836
NSC,2025,17087000000.0,,0.3777301264479618,,0.2552232691519869,0.004701806483543569
ODFL,2021,99947000.0,1727000.0,0.020729251874503273,805.7915460335843,12.132490219816503,
ODFL,2022,99963000.0,1563000.0,0.020659445584579043,1177.6276391554702,16.92208117003291,0.1909601151221918
ODFL,2023,79977000.0,464000.0,0.014508580937534751,3535.9331896551726,19.619828200607675,-0.06292654227735539
ODFL,2024,59987000.0,212000.0,0.010923818082654772,7283.009433962264,27.6607098204611,-0.008752245083318622
ODFL,2025,39995000.0,296000.0,0.00731148631849891,4598.125,34.25760720090011,-0.05476034470601787
ORLY,2021,3826978000.0,144768000.0,0.3265699876274746,4.668718225022104,0.8380790273683308,
ORLY,2022,4371653000.0,157720000.0,0.3461878579303941,4.3254945472990105,0.720150936041813,0.1072461645824554
ORLY,2023,5570125000.0,201668000.0,0.40150847023299585,3.5639566019398217,0.5447066268710308,0.051453521793017654
ORLY,2024,5520932000.0,222548000.0,0.3706880628580825,14.60879001383971,0.5523661584674472,3.360233193241676
ORLY,2025,6016904000.0,235064000.0,0.36381738748343007,14.7219991151346,0.45903890106938716,0.06424959447236334
REGN,2021,1980000000.0,57300000.0,0.07784610061805086,156.13961605584643,3.5764141414141415,
REGN,2022,1981400000.0,59400000.0,0.06782248540964247,79.77946127946127,2.530988190168568,-0.2425879029598611
REGN,2023,1982900000.0,73000000.0,0.05994220107496327,55.43972602739726,2.3168087145090523,0.07757395526127708
REGN,2024,1984400000.0,,0.052553801172688125,,2.2276254787341263,0.08270057634251216
REGN,2025,1985900000.0,,0.048963600904368236,,2.507125232891888,0.009921137867905827
RL,2021,1632900000.0,48500000.0,0.20702377179080825,-0.8989690721649485,0.233265968522261,
RL,2022,1136500000.0,54000000.0,0.1471254547102153,14.785185185185185,0.6299164100307963,0.413038538447555
RL,2023,1138500000.0,40400000.0,0.16768539656823037,17.43069306930693,0.36100131752305664,0.036198440138297094
RL,2024,1140500000.0,42200000.0,0.1727349831884409,17.924170616113745,0.9379219640508549,0.029145198336333777
RL,2025,742900000.0,44100000.0,0.10541625870900913,21.13605442176871,1.6625386996904026,0.06749705944446127
SAIA,2021,31008000.0,3212000.0,0.016804227069502777,104.34028642590286,12.338493292053663,
SAIA,2022,16489000.0,2611000.0,0.00758216038000469,180.19456147070088,28.687367335799625,0.21992927001482054
SAIA,2023,6315000.0,2535000.0,0.002444296930791368,181.6552268244576,91.5193982581156,0.032010807802276275
SAIA,2024,194981000.0,8930000.0,0.06156924673264375,53.993281075027994,2.9936352772834276,0.11370765865456534
SAIA,2025,163000000.0,16444000.0,0.046803023303024306,21.418146436390174,3.6501411042944785,0.007856471991608771
SGRY,2020,2792400000.0,22200000.0,0.515850144092219,8.243243243243244,0.08841856467554791,
SGRY,2021,2878400000.0,27400000.0,0.47051131162547405,11.02919708029197,0.030259866592551418,0.19622600935433576
SGRY,2022,2559000000.0,42700000.0,0.3829634396372398,8.08430913348946,0.062055490425947636,0.14120713675789842
SGRY,2023,2701800000.0,48600000.0,0.3928919394477002,6.748971193415638,0.10874231993485824,0.08033710077580425
SGRY,2024,3268900000.0,61800000.0,0.41430925221799747,5.644012944983818,0.09180458258129646,0.1352385812707324
TGT,2021,11536000000.0,977000000.0,0.22510146737433656,6.69293756397134,0.9123613037447988,
TGT,2022,13549000000.0,421000000.0,0.2517886677445132,21.24940617577197,0.6365783452653332,0.1330041363388592
TGT,2023,16009000000.0,478000000.0,0.3001593700196869,8.05020920502092,0.2509838216003498,0.02938540634875708
TGT,2024,14922000000.0,502000000.0,0.2695642748753523,11.368525896414342,0.5777375686905241,-0.015652492668621676
TGT,2025,14304000000.0,,0.2476068479634406,,0.5150307606263982,-0.007876214948050464
UHS,2021,4190288000.0,83672000.0,0.32002705455658564,16.29092169423463,0.21089123229715953,
UHS,2022,4807980000.0,126889000.0,0.35630006044083573,7.908920394990898,0.20716038752241067,0.059899224156840125
UHS,2023,4912469000.0,206674000.0,0.35170453740019225,5.687125618123228,0.2580773537705785,0.06586921623927089
UHS,2024,4504541000.0,186109000.0,0.31130747326715896,9.03671504333482,0.4588927040513118,0.10824545567083987
UHS,2025,4752551000.0,156068000.0,0.3060713273460993,12.776578158238717,0.39229394908124077,0.09710009549571685
UPS,2021,19784000000.0,694000000.0,0.28505150925725814,18.45821325648415,0.7585422563687828,
UPS,2022,19662000000.0,704000000.0,0.27644676902311455,18.599431818181817,0.7173227545519276,0.031360819020012975
UPS,2023,22264000000.0,785000000.0,0.31421031090788487,11.644585987261147,0.4598454904779015,-0.09348402399888378
UPS,2024,21284000000.0,,0.30375338946767516,,0.4755685021612479,0.0012313375404031657
UPS,2025,24127000000.0,,0.3300998768641401,,0.35023003274339953,-0.026452179642033613
WMT,2021,44309000000.0,1976000000.0,0.1754839680628604,11.410931174089068,0.814146110271051,
WMT,2022,37667000000.0,1674000000.0,0.15383076043453403,15.497013142174433,0.6419677701967239,0.022565301414001038
WMT,2023,38840000000.0,1787000000.0,0.15970591742496823,11.431449356463347,0.7425592173017508,0.06713904769956436
WMT,2024,39579000000.0,2259000000.0,0.15681123934722405,11.95750332005312,0.9026503954117082,0.06066537818482498
WMT,2025,35999000000.0,2249000000.0,0.13802080338007,13.049355269008448,1.0123336759354427,0.0496407769860745
YELL,2018,874900000.0,105800000.0,0.5410302393172964,1.3506616257088846,0.25694365070293745,
YELL,2019,862200000.0,111200000.0,0.4707359685520856,0.14568345323741008,0.02493620969612619,-0.04336213668499611
YELL,2020,1225400000.0,135900000.0,0.5606185378351176,0.4157468727005151,0.09996735759751918,-0.07339054031860737
YELL,2021,1554500000.0,150700000.0,0.6408723614775725,0.6874585268745853,0.006561595368285622,0.13472317610829254
YELL,2022,1538000000.0,162900000.0,0.6747685692975913,1.2142418661755678,0.07886866059817946,0.023995470342457637
